Id_comment,Name_phone,Name_comment,Buy_place_comment,Content_comment,Used_comment,label
r-53650660,iPhone 14 Pro Max,Nguyễn Tiến Anh,Đã mua tại TGDD,Dây sạc theo máy bị hỏng ko sạc được có đổi dc không,Đã dùng khoảng 3 tháng,0
r-53646594,iPhone 14 Pro Max,NHÂN,Đã mua tại TGDD,"Mua cho vợ xài chứ khôg biết tốt dỡ sao, mà mắc thì chắv tốt rồi",Đã dùng khoảng 1 tuần,2
r-53642026,iPhone 14 Pro Max,OANH,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 3 tháng,1
r-53630446,iPhone 14 Pro Max,Tuyết Ngân,Đã mua tại TGDD,"Sản phẩm rất tốt, rất an tâm khi mua sp ở dmx",Đã dùng khoảng 2 tháng,1
r-53627015,iPhone 14 Pro Max,Bùi Thu Hiền,Đã mua tại TGDD,Em muốn đổi từ ip 14 pro max xuống ip 14. Bên mình có hỗ trợ không ạ ?,Đã dùng khoảng 2 tháng,2
r-53625318,iPhone 14 Pro Max,TRẦN XUÂN NGHĨA,Đã mua tại TGDD,Rất tốt! Các bạn vui lòng liên hệ zalo sdt xxxx722815 để gửi hoá đơn dạng file điện tử giúp mình vì mình sau khi mua đã về lại Singapore cần hoá đơn điện tử để bảo hành ở nước ngoài! Vui lòng add zalo mình không gọi vì mình đang bên Sing,Đã dùng khoảng 2 ngày,2
r-53622496,iPhone 14 Pro Max,Anh Đạt,Đã mua tại TGDD,Ok,Đã dùng khoảng 3 tháng,1
r-53609586,iPhone 14 Pro Max,Xuân Thành,Đã mua tại TGDD,1 sản phẩm đẹp giá tốt . Sẻ giới thiệu cho bạn bè .,Đã dùng khoảng 1 ngày,1
r-53606596,iPhone 14 Pro Max,Anh Hùng,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53592098,iPhone 14 Pro Max,NGUYỄN VĂN THẾ,Đã mua tại TGDD,hàng ngon nhân viên nhiệt tình,Đã dùng khoảng 1 tuần,1
r-53589531,iPhone 14 Pro Max,Lê Văn Trung,Đã mua tại DMX,sản phẩm chất lượng,Đã dùng khoảng 7 ngày,1
r-53585447,iPhone 14 Pro Max,Ty,Đã mua tại TGDD,Hàng OK lắm,Đã dùng khoảng 1 ngày,1
r-53582199,iPhone 14 Pro Max,Anh Đức,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần,1
r-53581205,iPhone 14 Pro Max,DUC,Đã mua tại TGDD,"Đẹp nhưng 13 prm có vẻ ok hơn, cảm giác thao tác trên màn ko mượt cho lắm",Đã dùng khoảng 1 tháng,0
r-53578243,iPhone 14 Pro Max,Nguyễn Mạnh Hà,Đã mua tại TGDD,"Chất lượng dịch vụ của Thế Giới Di Động lúc nào cũng tốt nhất, uy tín nhất",Đã dùng khoảng 7 ngày,1
r-53577832,iPhone 14 Pro Max,Ngũ Toàn Thành,Đã mua tại TGDD,Xài rất tốt,Đã dùng khoảng 1 tuần,1
r-53573116,iPhone 14 Pro Max,Nông Văn Tuấn,Đã mua tại DMX,nv thế giới dất nhiệt tình vv sản phẩm hiện dùng dất ok chỉ tội là đt để qua đêm bị tụt 3% pin không hiểu lý do gì máy đã tắt mạng vấn bị tụt,Đã dùng khoảng 1 tuần,2
r-53562547,iPhone 14 Pro Max,Lê Hoàng Anh,Đã mua tại TGDD,"Tgdd gần bến xe rạch sỏi phục vụ rất tốt. Điện thoại sang trọng, chất lượng",Đã dùng khoảng 1 ngày,1
r-53561310,iPhone 14 Pro Max,HƯƠNG,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 2 tháng,1
r-53560815,iPhone 14 Pro Max,Chị Thỏ,Đã mua tại DMX,Hihi,Đã dùng khoảng 1 tuần,2
r-53536763,iPhone 14 Pro Max,Anh Phương,Đã mua tại DMX,ok,Đã dùng khoảng 1 tuần,1
r-53529787,iPhone 14 Pro Max,Trần Minh Trí,Đã mua tại TGDD,"Đỉnh con nhà bà chốp luôn, suy nghĩ rất lâu đến nay mới quyết định rước em về, nhân viên ở 14D Đinh Tiên Hoàng nhánh Vĩnh Long rất nhiệt và chu đáo lun, yêu thegioididong",Đã dùng khoảng 1 ngày,1
r-53529085,iPhone 14 Pro Max,Nguyễn Văn Thuyết,Đã mua tại TGDD,Chị bán hàng tên thơm ở chi nhánh thành phố chí linh hải dương tư vấn rất nhiệt tình,Đã dùng khoảng 4 tuần,1
r-53504877,iPhone 14 Pro Max,Nguyễn Thành Nam,Đã mua tại TGDD,Tất cả đều ok,Đã dùng khoảng 1 tuần,1
r-53487791,iPhone 14 Pro Max,Huy,Đã mua tại DMX,"Máy quá mượt. Chụp ảnh đẹp, pin trâu. Nv tư vấn nhiệt tình",Đã dùng khoảng 1 tuần,1
r-53470779,iPhone 14 Pro Max,Tiến,Đã mua tại DMX,Rất hài lòng,Đã dùng khoảng 1 tuần,1
r-53468447,iPhone 14 Pro Max,Bích Ngọc,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 7 ngày,1
r-53468306,iPhone 14 Pro Max,A Hiển,Đã mua tại DMX,"Sản phẩm đẹp, nhân viên tư vấn nhiệt tình, giao hàng nhanh.",Đã dùng khoảng 1 tuần,1
r-53461310,iPhone 14 Pro Max,Huy,Đã mua tại DMX,Rất hài lòng,Đã dùng khoảng 5 ngày,1
r-53446901,iPhone 14 Pro Max,Nguyễn Văn Hậu,Đã mua tại TGDD,Cũng tốt dùng ổn,Đã dùng khoảng 1 ngày,1
r-53424648,iPhone 14 Pro Max,Trịnh Tuấn Dương,Đã mua tại TGDD,"Mình có thói quen giữ cổ phiếu hãng nào thì chỉ mua đồ hãng ấy. Mới đổi sang giữ MWG trong 2022 nên ms mua Ip 14 promax ở TGDĐ, thấy máy dùng cũng tốt mà nhân viên thì xinh vs nhiệt tình nói chuyện cũng dễ nghe. Mình quyết định mua vào thêm mấy ngàn cổ MWG hold to die luôn",Đã dùng khoảng 2 ngày,1
r-53423645,iPhone 14 Pro Max,Trần Duy Đan,Đã mua tại TGDD,Điện thoại dùng rất tốt.,Đã dùng khoảng 2 tháng,1
r-53406167,iPhone 14 Pro Max,Nam,Đã mua tại TGDD,quá đẹp luôn ạ,Đã dùng khoảng 7 ngày,1
r-53399943,iPhone 14 Pro Max,Hải,Đã mua tại TGDD,Rất tuyệt vời,Đã dùng khoảng 2 tháng,1
