Name_phone,Id_comment,Name_comment,Buy_place_comment,Content_comment,Used_comment
iPhone 14 Pro Max,r-53650660,Nguyễn Tiến Anh,Đã mua tại TGDD,Dây sạc theo máy bị hỏng ko sạc được có đổi dc không,Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53646594,NHÂN,Đã mua tại TGDD,"Mua cho vợ xài chứ khôg biết tốt dỡ sao, mà mắc thì chắv tốt rồi",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53642026,OANH,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53630446,Tuyết Ngân,Đã mua tại TGDD,"Sản phẩm rất tốt, rất an tâm khi mua sp ở dmx",Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53627015,Bùi Thu Hiền,Đã mua tại TGDD,Em muốn đổi từ ip 14 pro max xuống ip 14. Bên mình có hỗ trợ không ạ ?,Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53625318,TRẦN XUÂN NGHĨA,Đã mua tại TGDD,Rất tốt! Các bạn vui lòng liên hệ zalo sdt xxxx722815 để gửi hoá đơn dạng file điện tử giúp mình vì mình sau khi mua đã về lại Singapore cần hoá đơn điện tử để bảo hành ở nước ngoài! Vui lòng add zalo mình không gọi vì mình đang bên Sing,Đã dùng khoảng 2 ngày
iPhone 14 Pro Max,r-53622496,Anh Đạt,Đã mua tại TGDD,Ok,Đã dùng khoảng 3 tháng
iPhone 14 Pro Max,r-53609586,Xuân Thành,Đã mua tại TGDD,1 sản phẩm đẹp giá tốt . Sẻ giới thiệu cho bạn bè .,Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53606596,Anh Hùng,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53592098,NGUYỄN VĂN THẾ,Đã mua tại TGDD,hàng ngon nhân viên nhiệt tình,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53589531,Lê Văn Trung,Đã mua tại DMX,sản phẩm chất lượng,Đã dùng khoảng 7 ngày
iPhone 14 Pro Max,r-53585447,Ty,Đã mua tại TGDD,Hàng OK lắm,Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53582199,Anh Đức,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53581205,DUC,Đã mua tại TGDD,"Đẹp nhưng 13 prm có vẻ ok hơn, cảm giác thao tác trên màn ko mượt cho lắm",Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53578243,Nguyễn Mạnh Hà,Đã mua tại TGDD,"Chất lượng dịch vụ của Thế Giới Di Động lúc nào cũng tốt nhất, uy tín nhất",Đã dùng khoảng 7 ngày
iPhone 14 Pro Max,r-53577832,Ngũ Toàn Thành,Đã mua tại TGDD,Xài rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53573116,Nông Văn Tuấn,Đã mua tại DMX,nv thế giới dất nhiệt tình vv sản phẩm hiện dùng dất ok chỉ tội là đt để qua đêm bị tụt 3% pin không hiểu lý do gì máy đã tắt mạng vấn bị tụt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53562547,Lê Hoàng Anh,Đã mua tại TGDD,"Tgdd gần bến xe rạch sỏi phục vụ rất tốt. Điện thoại sang trọng, chất lượng",Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53561310,HƯƠNG,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53560815,Chị Thỏ,Đã mua tại DMX,Hihi,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53536763,Anh Phương,Đã mua tại DMX,ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53529787,Trần Minh Trí,Đã mua tại TGDD,"Đỉnh con nhà bà chốp luôn, suy nghĩ rất lâu đến nay mới quyết định rước em về, nhân viên ở 14D Đinh Tiên Hoàng nhánh Vĩnh Long rất nhiệt và chu đáo lun, yêu thegioididong",Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53529085,Nguyễn Văn Thuyết,Đã mua tại TGDD,Chị bán hàng tên thơm ở chi nhánh thành phố chí linh hải dương tư vấn rất nhiệt tình,Đã dùng khoảng 4 tuần
iPhone 14 Pro Max,r-53504877,Nguyễn Thành Nam,Đã mua tại TGDD,Tất cả đều ok,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53487791,Huy,Đã mua tại DMX,"Máy quá mượt. Chụp ảnh đẹp, pin trâu. Nv tư vấn nhiệt tình",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53470779,Tiến,Đã mua tại DMX,Rất hài lòng,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53468447,Bích Ngọc,Đã mua tại TGDD,Rất tốt,Đã dùng khoảng 7 ngày
iPhone 14 Pro Max,r-53468306,A Hiển,Đã mua tại DMX,"Sản phẩm đẹp, nhân viên tư vấn nhiệt tình, giao hàng nhanh.",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53461310,Huy,Đã mua tại DMX,Rất hài lòng,Đã dùng khoảng 5 ngày
iPhone 14 Pro Max,r-53446901,Nguyễn Văn Hậu,Đã mua tại TGDD,Cũng tốt dùng ổn,Đã dùng khoảng 1 ngày
iPhone 14 Pro Max,r-53424648,Trịnh Tuấn Dương,Đã mua tại TGDD,"Mình có thói quen giữ cổ phiếu hãng nào thì chỉ mua đồ hãng ấy. Mới đổi sang giữ MWG trong 2022 nên ms mua Ip 14 promax ở TGDĐ, thấy máy dùng cũng tốt mà nhân viên thì xinh vs nhiệt tình nói chuyện cũng dễ nghe. Mình quyết định mua vào thêm mấy ngàn cổ MWG hold to die luôn",Đã dùng khoảng 2 ngày
iPhone 14 Pro Max,r-53423645,Trần Duy Đan,Đã mua tại TGDD,Điện thoại dùng rất tốt.,Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53406167,Nam,Đã mua tại TGDD,quá đẹp luôn ạ,Đã dùng khoảng 7 ngày
iPhone 14 Pro Max,r-53399943,Hải,Đã mua tại TGDD,Rất tuyệt vời,Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53378321,- Trần Thanh Nga,Đã mua tại TGDD,Quá xịn. Nhân viên nhiệt tình. Giá tốt,Đã dùng khoảng 7 ngày
iPhone 14 Pro Max,r-53366423,Nguyễn Trung Hậu,Đã mua tại TGDD,"Máy đẹp, đặt màu trắng nên nhận hàng từ 20/10 rồi :))",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53364577,Lê Anh Tú,Đã mua tại TGDD,"Ngoài cái nặng và cầm cấn tay ra không có gì phải chê nhất là pin, dù dùng 2 sim nhưng 1 ngày ko hết nổi kể cả 4g",Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53327079,Làu Chăn Hầu,Đã mua tại TGDD,rất tốt,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53315285,CÔNG,Đã mua tại TGDD,Tôi rất hài lòng,Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53315281,NGOC,Đã mua tại DMX,Tuyệt vời,Đã dùng khoảng 3 tuần
iPhone 14 Pro Max,r-53315212,TÂM,Đã mua tại DMX,Sp tuyệt vời,Đã dùng khoảng 1 tuần
iPhone 14 Pro Max,r-53283836,TÚ,Đã mua tại DMX,"máy đẹp, màu tím rất ưng. giá mua được km nhiều . rất hài lòng",Đã dùng khoảng 2 tháng
iPhone 14 Pro Max,r-53282823,Hồ Văn Dũng,Đã mua tại DMX,Ok,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53280003,THO,Đã mua tại DMX,Bền đẹp đầm chắc mượt xôi thịt ngon,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53256759,Linh,Đã mua tại DMX,san phẩm tốt.cấu hỉnh đỉnh chóp,Đã dùng khoảng 1 tháng
iPhone 14 Pro Max,r-53256703,TOAN,Đã mua tại DMX,Rất tốt,Đã dùng khoảng 3 tuần
